cod_ibge;municipio;state_cod_ibge
1501758;brejo grande do araguaia;PA
1501782;breu branco;PA
1501808;breves;PA
1501907;bujaru;PA
1501956;cachoeira do piria;PA
1502004;cachoeira do arari;PA
1502103;cameta;PA
1502152;canaa dos carajas;PA
1502202;capanema;PA
1502301;capitao poco;PA
1502400;castanhal;PA
1502509;chaves;PA
1502608;colares;PA
1502707;conceicao do araguaia;PA
1502756;concordia do para;PA
1502764;cumaru do norte;PA
1502772;curionopolis;PA
1502806;curralinho;PA
1502855;curua;PA
1502905;curuca;PA
1502939;dom eliseu;PA
1502954;eldorado do carajas;PA
1503002;faro;PA
1503044;floresta do araguaia;PA
1503077;garrafao do norte;PA
1503093;goianesia do para;PA
1503101;gurupa;PA
1503200;igarape-acu;PA
1503309;igarape-miri;PA
1503408;inhangapi;PA
1503457;ipixuna do para;PA
1503507;irituia;PA
1503606;itaituba;PA
1503705;itupiranga;PA
1503754;jacareacanga;PA
1503804;jacunda;PA
1503903;juruti;PA
1504000;limoeiro do ajuru;PA
1504059;mae do rio;PA
1504109;magalhaes barata;PA
1504208;maraba;PA
1504307;maracana;PA
1504406;marapanim;PA
1504422;marituba;PA
1504455;medicilandia;PA
1504505;melgaco;PA
1504604;mocajuba;PA
1504703;moju;PA
1504752;mojui dos campos;PA
1504802;monte alegre;PA
1504901;muana;PA
1504950;nova esperanca do piria;PA
1504976;nova ipixuna;PA
1505007;nova timboteua;PA
1505031;novo progresso;PA
1505064;novo repartimento;PA
1505106;obidos;PA
1505205;oeiras do para;PA
1505304;oriximina;PA
1505403;ourem;PA
1505437;ourilandia do norte;PA
1505486;pacaja;PA
1505494;palestina do para;PA
1505502;paragominas;PA
1505536;parauapebas;PA
1505551;pau d'arco;PA
1505601;peixe-boi;PA
1505635;picarra;PA
1505650;placas;PA
1505700;ponta de pedras;PA
1505809;portel;PA
1505908;porto de moz;PA
1506005;prainha;PA
1506104;primavera;PA
1506112;quatipuru;PA
1506138;redencao;PA
1506161;rio maria;PA
1506187;rondon do para;PA
1506195;ruropolis;PA
1506203;salinopolis;PA
1506302;salvaterra;PA
1506351;santa barbara do para;PA
1506401;santa cruz do arari;PA
1506500;santa izabel do para;PA
1506559;santa luzia do para;PA
1506583;santa maria das barreiras;PA
1506609;santa maria do para;PA
1506708;santana do araguaia;PA
1506807;santarem;PA
1506906;santarem novo;PA
1507003;santo antonio do taua;PA
1507102;sao caetano de odivelas;PA
1507151;sao domingos do araguaia;PA
1507201;sao domingos do capim;PA
1507300;sao felix do xingu;PA
1507409;sao francisco do para;PA
1507458;sao geraldo do araguaia;PA
1507466;sao joao da ponta;PA
1507474;sao joao de pirabas;PA
1507508;sao joao do araguaia;PA
1507607;sao miguel do guama;PA
1507706;sao sebastiao da boa vista;PA
1507755;sapucaia;PA
1507805;senador jose porfirio;PA
1507904;soure;PA
1507953;tailandia;PA
1507961;terra alta;PA
1507979;terra santa;PA
1508001;tome-acu;PA
1508035;tracuateua;PA
1508050;trairao;PA
1508084;tucuma;PA
1508100;tucurui;PA
1508126;ulianopolis;PA
1508159;uruara;PA
1508209;vigia;PA
1508308;viseu;PA
1508357;vitoria do xingu;PA
1508407;xinguara;PA
1600055;serra do navio;AP
1600105;amapa;AP
1600154;pedra branca do amapari;AP
1600204;calcoene;AP
1600212;cutias;AP
1600238;ferreira gomes;AP
1600253;itaubal;AP
1600279;laranjal do jari;AP
1600303;macapa;AP
1600402;mazagao;AP
1600501;oiapoque;AP
1600535;porto grande;AP
1600550;pracuuba;AP
1600600;santana;AP
1600709;tartarugalzinho;AP
1600808;vitoria do jari;AP
1700251;abreulandia;TO
1700301;aguiarnopolis;TO
1700350;alianca do tocantins;TO
1700400;almas;TO
1700707;alvorada;TO
1701002;ananas;TO
1701051;angico;TO
1701101;aparecida do rio negro;TO
1701309;aragominas;TO
1701903;araguacema;TO
1702000;araguacu;TO
1702109;araguaina;TO
1702158;araguana;TO
1702208;araguatins;TO
1702307;arapoema;TO
1702406;arraias;TO
1702554;augustinopolis;TO
1702703;aurora do tocantins;TO
1702901;axixa do tocantins;TO
1703008;babaculandia;TO
1703057;bandeirantes do tocantins;TO
1703073;barra do ouro;TO
1703107;barrolandia;TO
1703206;bernardo sayao;TO
1703305;bom jesus do tocantins;TO
1703602;brasilandia do tocantins;TO
1703701;brejinho de nazare;TO
1703800;buriti do tocantins;TO
1703826;cachoeirinha;TO
1703842;campos lindos;TO
1703867;cariri do tocantins;TO
1703883;carmolandia;TO
1703891;carrasco bonito;TO
1703909;caseara;TO
1704105;centenario;TO
1704600;chapada de areia;TO
1705102;chapada da natividade;TO
1705508;colinas do tocantins;TO
1705557;combinado;TO
1705607;conceicao do tocantins;TO
1706001;couto magalhaes;TO
1706100;cristalandia;TO
1706258;crixas do tocantins;TO
1706506;darcinopolis;TO
1707009;dianopolis;TO
1707108;divinopolis do tocantins;TO
1707207;dois irmaos do tocantins;TO
1707306;duere;TO
1707405;esperantina;TO
1707553;fatima;TO
1707652;figueiropolis;TO
1707702;filadelfia;TO
1708205;formoso do araguaia;TO
1708254;fortaleza do tabocao;TO
1708304;goianorte;TO
1709005;goiatins;TO
1709302;guarai;TO
1709500;gurupi;TO
1709807;ipueiras;TO
1710508;itacaja;TO
1710706;itaguatins;TO
1710904;itapiratins;TO
1711100;itapora do tocantins;TO
1711506;jau do tocantins;TO
1711803;juarina;TO
1711902;lagoa da confusao;TO
1711951;lagoa do tocantins;TO
1712009;lajeado;TO
1712157;lavandeira;TO
1712405;lizarda;TO
1712454;luzinopolis;TO
1712504;marianopolis do tocantins;TO
1712702;mateiros;TO
1712801;maurilandia do tocantins;TO
1713205;miracema do tocantins;TO
1713304;miranorte;TO
1713601;monte do carmo;TO
1713700;monte santo do tocantins;TO
1713809;palmeiras do tocantins;TO
1713957;muricilandia;TO
1714203;natividade;TO
1714302;nazare;TO
1714880;nova olinda;TO
1715002;nova rosalandia;TO
1715101;novo acordo;TO
1715150;novo alegre;TO
1715259;novo jardim;TO
1715507;oliveira de fatima;TO
1715705;palmeirante;TO
1715754;palmeiropolis;TO
1716109;paraiso do tocantins;TO
1716208;parana;TO
1716307;pau d'arco;TO
1716505;pedro afonso;TO
1716604;peixe;TO
1716653;pequizeiro;TO
1716703;colmeia;TO
1717008;pindorama do tocantins;TO
1717206;piraque;TO
1717503;pium;TO
1717800;ponte alta do bom jesus;TO
1717909;ponte alta do tocantins;TO
1718006;porto alegre do tocantins;TO
1718204;porto nacional;TO
1718303;praia norte;TO
1718402;presidente kennedy;TO
1718451;pugmil;TO
1718501;recursolandia;TO
1718550;riachinho;TO
1718659;rio da conceicao;TO
1718709;rio dos bois;TO
1718758;rio sono;TO
1718808;sampaio;TO
1718840;sandolandia;TO
1718865;santa fe do araguaia;TO
1718881;santa maria do tocantins;TO
1718899;santa rita do tocantins;TO
1718907;santa rosa do tocantins;TO
1719004;santa tereza do tocantins;TO
1720002;santa terezinha do tocantins;TO
1720101;sao bento do tocantins;TO
1720150;sao felix do tocantins;TO
1720200;sao miguel do tocantins;TO
1720259;sao salvador do tocantins;TO
1720309;sao sebastiao do tocantins;TO
1720499;sao valerio;TO
1720655;silvanopolis;TO
1720804;sitio novo do tocantins;TO
1720853;sucupira;TO
1720903;taguatinga;TO
1720937;taipas do tocantins;TO
1720978;talisma;TO
1721000;palmas;TO
1721109;tocantinia;TO
1721208;tocantinopolis;TO
1721257;tupirama;TO
1721307;tupiratins;TO
1722081;wanderlandia;TO
1722107;xambioa;TO
2100055;acailandia;MA
2100105;afonso cunha;MA
2100154;agua doce do maranhao;MA
2100204;alcantara;MA
2100303;aldeias altas;MA
2100402;altamira do maranhao;MA
2100436;alto alegre do maranhao;MA
2100477;alto alegre do pindare;MA
2100501;alto parnaiba;MA
2100550;amapa do maranhao;MA
2100600;amarante do maranhao;MA
2100709;anajatuba;MA
2100808;anapurus;MA
2100832;apicum-acu;MA
2100873;araguana;MA
2100907;araioses;MA
2100956;arame;MA
2101004;arari;MA
2101103;axixa;MA
2101202;bacabal;MA
2101251;bacabeira;MA
2101301;bacuri;MA
2101350;bacurituba;MA
2101400;balsas;MA
2101509;barao de grajau;MA
2101608;barra do corda;MA
2101707;barreirinhas;MA
2101731;belagua;MA
2101772;bela vista do maranhao;MA
2101806;benedito leite;MA
2101905;bequimao;MA
2101939;bernardo do mearim;MA
2101970;boa vista do gurupi;MA
2102002;bom jardim;MA
2102036;bom jesus das selvas;MA
2102077;bom lugar;MA
2102101;brejo;MA
2102150;brejo de areia;MA
2102200;buriti;MA
2102309;buriti bravo;MA
2102325;buriticupu;MA
2102358;buritirana;MA
2102374;cachoeira grande;MA
2102408;cajapio;MA
2102507;cajari;MA
2102556;campestre do maranhao;MA
2102606;candido mendes;MA
2102705;cantanhede;MA
2102754;capinzal do norte;MA
2102804;carolina;MA
2102903;carutapera;MA
2103000;caxias;MA
2103109;cedral;MA
2103125;central do maranhao;MA
2103158;centro do guilherme;MA
2103174;centro novo do maranhao;MA
2103208;chapadinha;MA
2103257;cidelandia;MA
2103307;codo;MA
2103406;coelho neto;MA
2103505;colinas;MA
2103554;conceicao do lago-acu;MA
2103604;coroata;MA
2103703;cururupu;MA
2103752;davinopolis;MA
2103802;dom pedro;MA
2103901;duque bacelar;MA
2104008;esperantinopolis;MA
2104057;estreito;MA
2104073;feira nova do maranhao;MA
2104081;fernando falcao;MA
2104099;formosa da serra negra;MA
2104107;fortaleza dos nogueiras;MA
2104206;fortuna;MA
2104305;godofredo viana;MA
2104404;goncalves dias;MA
2104503;governador archer;MA
2104552;governador edison lobao;MA
2104602;governador eugenio barros;MA
2104628;governador luiz rocha;MA
2104651;governador newton bello;MA
2104677;governador nunes freire;MA
2104701;graca aranha;MA
2104800;grajau;MA
2104909;guimaraes;MA
2105005;humberto de campos;MA
2105104;icatu;MA
2105153;igarape do meio;MA
2105203;igarape grande;MA
2105302;imperatriz;MA
2105351;itaipava do grajau;MA
2105401;itapecuru mirim;MA
2105427;itinga do maranhao;MA
2105450;jatoba;MA
2105476;jenipapo dos vieiras;MA
2105500;joao lisboa;MA
2105609;joselandia;MA
2105658;junco do maranhao;MA
2105708;lago da pedra;MA
2105807;lago do junco;MA
2105906;lago verde;MA
2105922;lagoa do mato;MA
2105948;lago dos rodrigues;MA
2105963;lagoa grande do maranhao;MA
2105989;lajeado novo;MA
2106003;lima campos;MA
2106102;loreto;MA
2106201;luis domingues;MA
2106300;magalhaes de almeida;MA
2106326;maracacume;MA
2106359;maraja do sena;MA
2106375;maranhaozinho;MA
2106409;mata roma;MA
2106508;matinha;MA
2106607;matoes;MA
2106631;matoes do norte;MA
2106672;milagres do maranhao;MA
2106706;mirador;MA
2106755;miranda do norte;MA
2106805;mirinzal;MA
2106904;moncao;MA
2107001;montes altos;MA
2107100;morros;MA
2107209;nina rodrigues;MA
2107258;nova colinas;MA
2107308;nova iorque;MA
2107357;nova olinda do maranhao;MA
2107407;olho d'agua das cunhas;MA
2107456;olinda nova do maranhao;MA
2107506;paco do lumiar;MA
2107605;palmeirandia;MA
2107704;paraibano;MA
2107803;parnarama;MA
2107902;passagem franca;MA
2108009;pastos bons;MA
2108058;paulino neves;MA
2108108;paulo ramos;MA
2108207;pedreiras;MA
2108256;pedro do rosario;MA
2108306;penalva;MA
2108405;peri mirim;MA
2108454;peritoro;MA
2108504;pindare-mirim;MA
2108603;pinheiro;MA
2108702;pio xii;MA
2108801;pirapemas;MA
2108900;pocao de pedras;MA
2109007;porto franco;MA
2109056;porto rico do maranhao;MA
2109106;presidente dutra;MA
2109205;presidente juscelino;MA
2109239;presidente medici;MA
2109270;presidente sarney;MA
2109304;presidente vargas;MA
2109403;primeira cruz;MA
2109452;raposa;MA
2109502;riachao;MA
2109551;ribamar fiquene;MA
2109601;rosario;MA
2109700;sambaiba;MA
2109759;santa filomena do maranhao;MA
2109809;santa helena;MA
2109908;santa ines;MA
2110005;santa luzia;MA
2110039;santa luzia do parua;MA
2110104;santa quiteria do maranhao;MA
2110203;santa rita;MA
2110237;santana do maranhao;MA
2110278;santo amaro do maranhao;MA
2110302;santo antonio dos lopes;MA
2110401;sao benedito do rio preto;MA
2110500;sao bento;MA
2110609;sao bernardo;MA
2110658;sao domingos do azeitao;MA
2110708;sao domingos do maranhao;MA
2110807;sao felix de balsas;MA
2110856;sao francisco do brejao;MA
2110906;sao francisco do maranhao;MA
2111003;sao joao batista;MA
2111029;sao joao do caru;MA
2111052;sao joao do paraiso;MA
2111078;sao joao do soter;MA
2111102;sao joao dos patos;MA
2111201;sao jose de ribamar;MA
2111250;sao jose dos basilios;MA
2111300;sao luis;MA
2111409;sao luis gonzaga do maranhao;MA
2111508;sao mateus do maranhao;MA
2111532;sao pedro da agua branca;MA
2111573;sao pedro dos crentes;MA
2111607;sao raimundo das mangabeiras;MA
2111631;sao raimundo do doca bezerra;MA
2111672;sao roberto;MA
2111706;sao vicente ferrer;MA
2111722;satubinha;MA
2111748;senador alexandre costa;MA
2111763;senador la rocque;MA
2111789;serrano do maranhao;MA
2111805;sitio novo;MA
2111904;sucupira do norte;MA
2111953;sucupira do riachao;MA
2112001;tasso fragoso;MA
2112100;timbiras;MA
2112209;timon;MA
2112233;trizidela do vale;MA
2112274;tufilandia;MA
2112308;tuntum;MA
2112407;turiacu;MA
2112456;turilandia;MA
2112506;tutoia;MA
2112605;urbano santos;MA
2112704;vargem grande;MA
2112803;viana;MA
2112852;vila nova dos martirios;MA
2112902;vitoria do mearim;MA
2113009;vitorino freire;MA
2114007;ze doca;MA
2200053;acaua;PI
2200103;agricolandia;PI
2200202;agua branca;PI
2200251;alagoinha do piaui;PI
2200277;alegrete do piaui;PI
2200301;alto longa;PI
2200400;altos;PI
2200459;alvorada do gurgueia;PI
2200509;amarante;PI
2200608;angical do piaui;PI
2200707;anisio de abreu;PI
2200806;antonio almeida;PI
2200905;aroazes;PI
2200954;aroeiras do itaim;PI
2201002;arraial;PI
2201051;assuncao do piaui;PI
2201101;avelino lopes;PI
2201150;baixa grande do ribeiro;PI
2201176;barra d'alcantara;PI
2201200;barras;PI
2201309;barreiras do piaui;PI
2201408;barro duro;PI
2201507;batalha;PI
2201556;bela vista do piaui;PI
2201572;belem do piaui;PI
2201606;beneditinos;PI
2201705;bertolinia;PI
2201739;betania do piaui;PI
2201770;boa hora;PI
2201804;bocaina;PI
2201903;bom jesus;PI
2201919;bom principio do piaui;PI
2201929;bonfim do piaui;PI
2201945;boqueirao do piaui;PI
2201960;brasileira;PI
2201988;brejo do piaui;PI
2202000;buriti dos lopes;PI
2202026;buriti dos montes;PI
2202059;cabeceiras do piaui;PI
2202075;cajazeiras do piaui;PI
2202083;cajueiro da praia;PI
2202091;caldeirao grande do piaui;PI
2202109;campinas do piaui;PI
2202117;campo alegre do fidalgo;PI
2202133;campo grande do piaui;PI
2202174;campo largo do piaui;PI
2202208;campo maior;PI
2202251;canavieira;PI
2202307;canto do buriti;PI
2202406;capitao de campos;PI
2202455;capitao gervasio oliveira;PI
2202505;caracol;PI
2202539;caraubas do piaui;PI
2202554;caridade do piaui;PI
2202604;castelo do piaui;PI
2202653;caxingo;PI
2202703;cocal;PI
2202711;cocal de telha;PI
2202729;cocal dos alves;PI
2202737;coivaras;PI
2202752;colonia do gurgueia;PI
2202778;colonia do piaui;PI
2202802;conceicao do caninde;PI
2202851;coronel jose dias;PI
2202901;corrente;PI
2203008;cristalandia do piaui;PI
2203107;cristino castro;PI
2203206;curimata;PI
2203230;currais;PI
2203255;curralinhos;PI
2203271;curral novo do piaui;PI
2203305;demerval lobao;PI
2203354;dirceu arcoverde;PI
2203404;dom expedito lopes;PI
2203420;domingos mourao;PI
2203453;dom inocencio;PI
2203503;elesbao veloso;PI
2203602;eliseu martins;PI
2203701;esperantina;PI
2203750;fartura do piaui;PI
2203800;flores do piaui;PI
2203859;floresta do piaui;PI
2203909;floriano;PI
2204006;francinopolis;PI
2204105;francisco ayres;PI
2204154;francisco macedo;PI
2204204;francisco santos;PI
2204303;fronteiras;PI
2204352;geminiano;PI
2204402;gilbues;PI
2204501;guadalupe;PI
2204550;guaribas;PI
2204600;hugo napoleao;PI
2204659;ilha grande;PI
2204709;inhuma;PI
2204808;ipiranga do piaui;PI
2204907;isaias coelho;PI
2205003;itainopolis;PI
2205102;itaueira;PI
2205151;jacobina do piaui;PI
2205201;jaicos;PI
2205250;jardim do mulato;PI
2205276;jatoba do piaui;PI
2205300;jerumenha;PI
2205359;joao costa;PI
2205409;joaquim pires;PI
2205458;joca marques;PI
2205508;jose de freitas;PI
2205516;juazeiro do piaui;PI
2205524;julio borges;PI
2205532;jurema;PI
2205540;lagoinha do piaui;PI
2205557;lagoa alegre;PI
2205565;lagoa do barro do piaui;PI
2205573;lagoa de sao francisco;PI
2205581;lagoa do piaui;PI
2205599;lagoa do sitio;PI
2205607;landri sales;PI
2205706;luis correia;PI
2205805;luzilandia;PI
2205854;madeiro;PI
2205904;manoel emidio;PI
2205953;marcolandia;PI
2206001;marcos parente;PI
2206050;massape do piaui;PI
2206100;matias olimpio;PI
2206209;miguel alves;PI
2206308;miguel leao;PI
2206357;milton brandao;PI
2206407;monsenhor gil;PI
2206506;monsenhor hipolito;PI
2206605;monte alegre do piaui;PI
2206654;morro cabeca no tempo;PI
2206670;morro do chapeu do piaui;PI
2206696;murici dos portelas;PI
2206704;nazare do piaui;PI
2206720;nazaria;PI
2206753;nossa senhora de nazare;PI
2206803;nossa senhora dos remedios;PI
2206902;novo oriente do piaui;PI
2206951;novo santo antonio;PI
2207009;oeiras;PI
2207108;olho d'agua do piaui;PI
2207207;padre marcos;PI
2207306;paes landim;PI
2207355;pajeu do piaui;PI
2207405;palmeira do piaui;PI
2207504;palmeirais;PI
2207553;paqueta;PI
2207603;parnagua;PI
2207702;parnaiba;PI
2207751;passagem franca do piaui;PI
2207777;patos do piaui;PI
2207793;pau d'arco do piaui;PI
2207801;paulistana;PI
2207850;pavussu;PI
2207900;pedro ii;PI
2207934;pedro laurentino;PI
2207959;nova santa rita;PI
2208007;picos;PI
2208106;pimenteiras;PI
2208205;pio ix;PI
2208304;piracuruca;PI
2208403;piripiri;PI
2208502;porto;PI
2208551;porto alegre do piaui;PI
2208601;prata do piaui;PI
2208650;queimada nova;PI
2208700;redencao do gurgueia;PI
2208809;regeneracao;PI
2208858;riacho frio;PI
2208874;ribeira do piaui;PI
2208908;ribeiro goncalves;PI
2209005;rio grande do piaui;PI
2209104;santa cruz do piaui;PI
2209153;santa cruz dos milagres;PI
2209203;santa filomena;PI
2209302;santa luz;PI
2209351;santana do piaui;PI
2209377;santa rosa do piaui;PI
2209401;santo antonio de lisboa;PI
2209450;santo antonio dos milagres;PI
2209500;santo inacio do piaui;PI
2209559;sao braz do piaui;PI
2209609;sao felix do piaui;PI
2209658;sao francisco de assis do piaui;PI
2209708;sao francisco do piaui;PI
2209757;sao goncalo do gurgueia;PI
2209807;sao goncalo do piaui;PI
2209856;sao joao da canabrava;PI
2209872;sao joao da fronteira;PI
2209906;sao joao da serra;PI
2209955;sao joao da varjota;PI
2209971;sao joao do arraial;PI
2210003;sao joao do piaui;PI
2210052;sao jose do divino;PI
2210102;sao jose do peixe;PI
2210201;sao jose do piaui;PI
2210300;sao juliao;PI
2210359;sao lourenco do piaui;PI
2210375;sao luis do piaui;PI
2210383;sao miguel da baixa grande;PI
2210391;sao miguel do fidalgo;PI
2210409;sao miguel do tapuio;PI
2210508;sao pedro do piaui;PI
2210607;sao raimundo nonato;PI
2210623;sebastiao barros;PI
2210631;sebastiao leal;PI
2210656;sigefredo pacheco;PI
2210706;simoes;PI
2210805;simplicio mendes;PI
2210904;socorro do piaui;PI
2210938;sussuapara;PI
2210953;tamboril do piaui;PI
2210979;tanque do piaui;PI
2211001;teresina;PI
2211100;uniao;PI
2211209;urucui;PI
2211308;valenca do piaui;PI
2211357;varzea branca;PI
2211407;varzea grande;PI
2211506;vera mendes;PI
2211605;vila nova do piaui;PI
2211704;wall ferraz;PI
2300101;abaiara;CE
2300150;acarape;CE
2300200;acarau;CE
2300309;acopiara;CE
2300408;aiuaba;CE
2300507;alcantaras;CE
2300606;altaneira;CE
2300705;alto santo;CE
2300754;amontada;CE
2300804;antonina do norte;CE
2300903;apuiares;CE
2301000;aquiraz;CE
2301109;aracati;CE
2301208;aracoiaba;CE
2301257;ararenda;CE
2301307;araripe;CE
2301406;aratuba;CE
2301505;arneiroz;CE
2301604;assare;CE
2301703;aurora;CE
2301802;baixio;CE
2301851;banabuiu;CE
2301901;barbalha;CE
2301950;barreira;CE
2302008;barro;CE
2302057;barroquinha;CE
2302107;baturite;CE
2302206;beberibe;CE
2302305;bela cruz;CE
2302404;boa viagem;CE
2302503;brejo santo;CE
2302602;camocim;CE
2302701;campos sales;CE
2302800;caninde;CE
2302909;capistrano;CE
2303006;caridade;CE
2303105;carire;CE
2303204;caririacu;CE
2303303;carius;CE
2303402;carnaubal;CE
2303501;cascavel;CE
2303600;catarina;CE
2303659;catunda;CE
2303709;caucaia;CE
2303808;cedro;CE
2303907;chaval;CE
2303931;choro;CE
2303956;chorozinho;CE
2304004;coreau;CE
2304103;crateus;CE
2304202;crato;CE
2304236;croata;CE
2304251;cruz;CE
2304269;deputado irapuan pinheiro;CE
2304277;erere;CE
2304285;eusebio;CE
2304301;farias brito;CE
2304350;forquilha;CE
2304400;fortaleza;CE
2304459;fortim;CE
2304509;frecheirinha;CE
2304608;general sampaio;CE
2304657;graca;CE
2304707;granja;CE
2304806;granjeiro;CE
2304905;groairas;CE
2304954;guaiuba;CE
2305001;guaraciaba do norte;CE
2305100;guaramiranga;CE
2305209;hidrolandia;CE
2305233;horizonte;CE
2305266;ibaretama;CE
2305308;ibiapina;CE
2305332;ibicuitinga;CE
2305357;icapui;CE
2305407;ico;CE
2305506;iguatu;CE
2305605;independencia;CE
2305654;ipaporanga;CE
2305704;ipaumirim;CE
2305803;ipu;CE
2305902;ipueiras;CE
2306009;iracema;CE
2306108;iraucuba;CE
2306207;itaicaba;CE
2306256;itaitinga;CE
2306306;itapaje;CE
2306405;itapipoca;CE
2306504;itapiuna;CE
2306553;itarema;CE
2306603;itatira;CE
2306702;jaguaretama;CE
2306801;jaguaribara;CE
2306900;jaguaribe;CE
2307007;jaguaruana;CE
2307106;jardim;CE
2307205;jati;CE
2307254;jijoca de jericoacoara;CE
2307304;juazeiro do norte;CE
2307403;jucas;CE
2307502;lavras da mangabeira;CE
2307601;limoeiro do norte;CE
2307635;madalena;CE
2307650;maracanau;CE
2307700;maranguape;CE
2307809;marco;CE
2307908;martinopole;CE
2308005;massape;CE
2308104;mauriti;CE
2308203;meruoca;CE
2308302;milagres;CE
2308351;milha;CE
2308377;miraima;CE
2308401;missao velha;CE
2308500;mombaca;CE
2308609;monsenhor tabosa;CE
2308708;morada nova;CE
2308807;moraujo;CE
2308906;morrinhos;CE
2309003;mucambo;CE
2309102;mulungu;CE
2309201;nova olinda;CE
2309300;nova russas;CE
2309409;novo oriente;CE
2309458;ocara;CE
2309508;oros;CE
2309607;pacajus;CE
2309706;pacatuba;CE
2309805;pacoti;CE
2309904;pacuja;CE
